"Net name","Source component","Source pin","Destination component","Destination pin","Voltage/signal type","Direction","Active level","Notes","Status"
"ATX_5VSB_TO_ESP32","ATX PSU","+5VSB purple","ESP32-S3","5V/VIN","5 V standby power","power","N/A","Standby rail, ALWAYS LIVE while mains connected; ESP32 stays powered when main rails are OFF (see STANDBY POWER BEHAVIOUR)","CONFIRMED"
"ATX_PS_ON_SWITCH","ATX PSU","PS-ON green","KCD1 switch","terminal 1","power control","input","active-low","KCD1 shorts PS-ON to GND to enable main rails","CONFIRMED"
"KCD1_TO_GND","KCD1 switch","terminal 2","ATX PSU","GND black","0 V","power control","active-low","Closing SW1 turns on +12 V / +5 V / +3.3 V main rails","CONFIRMED"
"ATX_12V_RAIL","ATX PSU","+12 V yellow","actuator rail node","+12 V bus","12 V actuator power","power","N/A","Feeds stepper VMOT, L298N VS, fan via relay COM; live only while PS-ON low","CONFIRMED"
"ATX_5V_RAIL","ATX PSU","+5 V red","module rail node","+5 V bus","5 V module power","power","N/A","Feeds relay module VCC and LCD VCC (LCD TBD); live only while PS-ON low","CONFIRMED"
"ATX_3V3_KY_BUS","ATX PSU","+3.3 V orange","KY-024 VCC bus","bus","3.3 V power","power","N/A","Dedicated KY-024 supply ONLY; do NOT tie to ESP32 3V3 LDO output (G2); off when main rails off","CONFIRMED"
"COMMON_GND","ATX PSU","GND black","all modules","GND","0 V","power","N/A","Single COMMON_GND node between ESP32, sensors, drivers, relay, panels, ATX (G3)","CONFIRMED"
"ESP32_GND","ATX PSU","GND black","ESP32-S3","GND","0 V","power","N/A","Explicit GND wire ESP32 to common ground rail","CONFIRMED"
"STANDBY_FLOATING_INPUTS","KY-024 / actuator rails","unpowered","ESP32-S3","GPIO inputs","design risk","N/A","N/A","When main rails OFF and ESP32 on +5VSB, sensor inputs float / may back-power; firmware must treat sensors as unavailable; protect/pull inputs","DESIGN CHECK REQUIRED"
"KY024_F0_VCC","KY-024 VCC bus","bus","KY-024 F0","VCC","3.3 V power","power","N/A","Floor 0 sensor supply from ATX +3.3 V orange","CONFIRMED"
"KY024_F1_VCC","KY-024 VCC bus","bus","KY-024 F1","VCC","3.3 V power","power","N/A","Floor 1 sensor supply from ATX +3.3 V orange","CONFIRMED"
"KY024_F2_VCC","KY-024 VCC bus","bus","KY-024 F2","VCC","3.3 V power","power","N/A","Floor 2 sensor supply from ATX +3.3 V orange","CONFIRMED"
"KY024_F3_VCC","KY-024 VCC bus","bus","KY-024 F3","VCC","3.3 V power","power","N/A","Floor 3 sensor supply from ATX +3.3 V orange","CONFIRMED"
"KY024_F0_GND","KY-024 F0","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"KY024_F1_GND","KY-024 F1","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"KY024_F2_GND","KY-024 F2","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"KY024_F3_GND","KY-024 F3","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"KY024_F0_OUT","KY-024 F0","OUT","ESP32-S3","GPIO8","3.3 V digital","input","TBD after bench","Floor 0 confirmation; OUT goes only to ESP32 input, never to a power rail","CONFIRMED PIN / POLARITY TBD"
"KY024_F1_OUT","KY-024 F1","OUT","ESP32-S3","GPIO3","3.3 V digital","input","TBD after bench","Floor 1 confirmation; C2 GPIO3 strap/JTAG-sensitive - verify reset-state level","CONFIRMED PIN / POLARITY TBD"
"KY024_F2_OUT","KY-024 F2","OUT","ESP32-S3","GPIO46","3.3 V digital","input","TBD after bench","Floor 2 confirmation; C3 GPIO46 special strap pin - board-specific verification","CONFIRMED PIN / BOARD CHECK REQUIRED"
"KY024_F3_OUT","KY-024 F3","OUT","ESP32-S3","GPIO0","3.3 V digital","input","TBD after bench","Floor 3 confirmation; C1 GPIO0 boot strap - sensor must not hold pin LOW at reset","CONFIRMED PIN / BOOT CHECK REQUIRED"
"MAGNETIC_TRIGGER","Cabin magnet","N/A","KY-024 F0-F3","sensing face","magnetic field","N/A","N/A","Non-electrical coupling; drawn dashed on schematic","DESIGN"
"DOOR_OPEN_LIMIT","SPDT open limit S1","NC contact","ESP32-S3","GPIO7","3.3 V digital","input","HIGH at limit (NC opens)","Recommended NC: COM->GND, NC->GPIO, internal pull-up; idle LOW, end position HIGH; debounce >= 20 ms","CONFIRMED PIN / CONTACT NC RECOMMENDED PENDING BENCH"
"DOOR_CLOSED_LIMIT","SPDT closed limit S2","NC contact","ESP32-S3","GPIO15","3.3 V digital","input","HIGH at limit (NC opens)","Recommended NC: COM->GND, NC->GPIO, internal pull-up; idle LOW, end position HIGH; debounce >= 20 ms","CONFIRMED PIN / CONTACT NC RECOMMENDED PENDING BENCH"
"S1_COM_GND","SPDT open limit S1","COM","common ground","GND","0 V","power","N/A","NO terminal left unconnected; only 3.3 V pull-up current flows - no 5 V into GPIO","DESIGN"
"S2_COM_GND","SPDT closed limit S2","COM","common ground","GND","0 V","power","N/A","NO terminal left unconnected; only 3.3 V pull-up current flows - no 5 V into GPIO","DESIGN"
"SPDT_PULLUP_METHOD","ESP32-S3","internal pull-up","SPDT S1/S2","NC->GPIO node","3.3 V pull-up","N/A","active-HIGH at limit","INPUT_PULLUP on GPIO7/GPIO15; external pull-up to 3.3 V optional; both limits active simultaneously = fault","DESIGN CHECK REQUIRED"
"STEPPER_STEP","ESP32-S3","GPIO39","Microstep driver U2","PUL/STEP","3.3 V digital pulse","output","rising-edge pulses","Cabin motion step pulses","CONFIRMED"
"STEPPER_DIR","ESP32-S3","GPIO40","Microstep driver U2","DIR","3.3 V digital","output","level = direction","Cabin motion direction","CONFIRMED"
"STEPPER_ENA","n/c","n/c","Microstep driver U2","ENA","N/A","N/A","N/A","No EN pin defined in firmware v6; leave per driver manual","TBD"
"STEPPER_VMOT","ATX PSU","+12 V yellow","Microstep driver U2","VMOT","actuator power","power","N/A","VMOT shown as +12 V / actuator rail; verify against actual driver supply range","CONFIRMED RAIL / DRIVER RANGE TBD"
"STEPPER_GND","Microstep driver U2","GND","common ground","GND","0 V","power","N/A","Logic and motor reference share COMMON_GND","CONFIRMED"
"STEPPER_COIL_A+","Microstep driver U2","A+","NEMA17 M1","coil A+","motor phase","output","N/A","Motor powered from driver, NOT from ESP32","CONFIRMED"
"STEPPER_COIL_A-","Microstep driver U2","A-","NEMA17 M1","coil A-","motor phase","output","N/A","","CONFIRMED"
"STEPPER_COIL_B+","Microstep driver U2","B+","NEMA17 M1","coil B+","motor phase","output","N/A","","CONFIRMED"
"STEPPER_COIL_B-","Microstep driver U2","B-","NEMA17 M1","coil B-","motor phase","output","N/A","","CONFIRMED"
"DOOR_IN1","ESP32-S3","GPIO38","L298N/HW-095 U3","IN1","3.3 V digital","output","direction pair with IN2","Door motor direction","CONFIRMED"
"DOOR_IN2","ESP32-S3","GPIO37","L298N/HW-095 U3","IN2","3.3 V digital","output","direction pair with IN1","Door motor direction; C6 GPIO37 unavailable on octal-PSRAM modules","CONFIRMED"
"DOOR_EN_PWM","ESP32-S3","GPIO36","L298N/HW-095 U3","ENA/PWM","3.3 V PWM","output","PWM duty = speed","Door enable/speed; C6 GPIO36 unavailable on octal-PSRAM; dwell timer starts after open-limit","CONFIRMED"
"DOOR_VS_12V","ATX PSU","+12 V yellow","L298N/HW-095 U3","VS","actuator power","power","N/A","Motor supply from actuator rail, NOT ESP32; 5 V logic from on-board reg jumper - confirm position","CONFIRMED RAIL / JUMPER TBD"
"DOOR_GND","L298N/HW-095 U3","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"DOOR_OUT1","L298N/HW-095 U3","OUT1","DC door motor M2","terminal 1","motor drive","output","N/A","","CONFIRMED"
"DOOR_OUT2","L298N/HW-095 U3","OUT2","DC door motor M2","terminal 2","motor drive","output","N/A","","CONFIRMED"
"FAN_RELAY_IN","ESP32-S3","GPIO16","Relay module K1","IN","3.3 V digital","output","active-low","FAN_RELAY_ACTIVE_LOW = true in firmware v6","CONFIRMED"
"FAN_RELAY_VCC","ATX PSU","+5 V red","Relay module K1","VCC","5 V power","power","N/A","Coil side; opto/transistor input stage assumed - verify module type so IN does not back-feed 5 V into GPIO16","TBD"
"FAN_RELAY_GND","Relay module K1","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"FAN_RELAY_COM","ATX PSU","+12 V yellow","Relay module K1","COM","12 V switched power","power","N/A","Contact side; NC left unconnected","CONFIRMED"
"FAN_NO_TO_FAN","Relay module K1","NO","Cooling fan M3","+","12 V switched power","output","N/A","Fan runs when relay energised","CONFIRMED"
"FAN_GND","Cooling fan M3","-","common ground","GND","0 V","power","N/A","","CONFIRMED"
"I2C_SDA","ESP32-S3","GPIO17","LCD 1604A + PCF8574 DS1","SDA","3.3 V I2C (50 kHz)","bidirectional","N/A","Open-drain; if backpack pulls to 5 V a level shifter is required (G1)","CONFIRMED / LCD VCC TBD"
"I2C_SCL","ESP32-S3","GPIO18","LCD 1604A + PCF8574 DS1","SCL","3.3 V I2C (50 kHz)","output","N/A","Same 5 V compatibility caveat as SDA","CONFIRMED / LCD VCC TBD"
"LCD_VCC","ATX PSU","+5 V red (TBD 3.3 V)","LCD 1604A + PCF8574 DS1","VCC","5 V or 3.3 V power","power","N/A","Most 1604 backpacks need 5 V for contrast; confirm module; add level shifter on SDA/SCL if 5 V","TBD"
"LCD_GND","LCD 1604A + PCF8574 DS1","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"BUZZER","ESP32-S3","GPIO19","Buzzer module BZ1","IN/-","3.3 V digital","output","active-low (sinks; OFF = INPUT_PULLUP)","C5 GPIO19 native USB D- pin - verify upload/debug method; confirmed free on this design","CONFIRMED"
"BUZZER_VCC","ESP32-S3","3V3 (LDO)","Buzzer module BZ1","VCC/+","3.3 V power","power","N/A","Use transistor/MOSFET if module current exceeds GPIO rating","TBD"
"RFID_SS","ESP32-S3","GPIO45","MFRC522 U4","SDA/SS","3.3 V SPI","output","active-low CS","C4 GPIO45 VDD_SPI strap - check boot-state pull with module connected","CONFIRMED"
"RFID_RST","ESP32-S3","GPIO20","MFRC522 U4","RST","3.3 V digital","output","active-low reset","C5 GPIO20 native USB D+ pin - verify upload/debug method","CONFIRMED"
"RFID_SCK","ESP32-S3","GPIO48","MFRC522 U4","SCK","3.3 V SPI clock","output","N/A","GPIO48 also drives on-board RGB LED on some DevKitC-1 boards (cosmetic)","CONFIRMED"
"RFID_MISO","MFRC522 U4","MISO","ESP32-S3","GPIO21","3.3 V SPI","input","N/A","Reader to controller data","CONFIRMED"
"RFID_MOSI","ESP32-S3","GPIO47","MFRC522 U4","MOSI","3.3 V SPI","output","N/A","Controller to reader data","CONFIRMED"
"RFID_VCC","ESP32-S3","3V3 (LDO)","MFRC522 U4","VCC","3.3 V power","power","N/A","RC522 is 3.3 V logic ONLY - never 5 V; clean ESP32 LDO rail, bench-confirm source","CONFIRMED"
"RFID_GND","MFRC522 U4","GND","common ground","GND","0 V","power","N/A","","CONFIRMED"
"SIM_TEMP","Potentiometer RV1","wiper","ESP32-S3","GPIO4 (ADC1_CH3)","0-3.3 V analogue","input","N/A","Simulated temperature proxy - NOT a calibrated sensor","CONFIRMED"
"SIM_VIB","Potentiometer RV2","wiper","ESP32-S3","GPIO5 (ADC1_CH4)","0-3.3 V analogue","input","N/A","Simulated vibration proxy - NOT a calibrated sensor","CONFIRMED"
"SIM_LOAD","Potentiometer RV3","wiper","ESP32-S3","GPIO6 (ADC1_CH5)","0-3.3 V analogue","input","N/A","Simulated load proxy - NOT a calibrated sensor","CONFIRMED"
"POTS_3V3","ESP32-S3","3V3 (LDO)","RV1/RV2/RV3","top end","3.3 V power","power","N/A","ADC reference range 0-3.3 V; ESP32 LDO, not ATX +3.3 V","CONFIRMED"
"POTS_GND","RV1/RV2/RV3","bottom end","common ground","GND","0 V","power","N/A","","CONFIRMED"
"ESTOP","Emergency stop S3","contact","ESP32-S3","GPIO35","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP; C6 GPIO35 unavailable on octal-PSRAM modules","CONFIRMED"
"CABIN_F0","Cabin button F0","contact","ESP32-S3","GPIO1","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"CABIN_F1","Cabin button F1","contact","ESP32-S3","GPIO2","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"CABIN_F2","Cabin button F2","contact","ESP32-S3","GPIO42","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"CABIN_F3","Cabin button F3","contact","ESP32-S3","GPIO41","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"HALL_F0_UP","Hall button F0 up","contact","ESP32-S3","GPIO9","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"HALL_F1_UP","Hall button F1 up","contact","ESP32-S3","GPIO11","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"HALL_F1_DOWN","Hall button F1 down","contact","ESP32-S3","GPIO10","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"HALL_F2_UP","Hall button F2 up","contact","ESP32-S3","GPIO13","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"HALL_F2_DOWN","Hall button F2 down","contact","ESP32-S3","GPIO12","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"HALL_F3_DOWN","Hall button F3 down","contact","ESP32-S3","GPIO14","3.3 V digital","input","active-low","Button to GND; INPUT_PULLUP","CONFIRMED"
"BUTTONS_COMMON_GND","All buttons + e-stop","common side","common ground","GND","0 V","power","N/A","Single return; route away from motor wiring (G5)","CONFIRMED"
"WIFI_MQTT_LINK","ESP32-S3","Wi-Fi 2.4 GHz radio","Mosquitto/Ditto/SCADA stack","network","software link","bidirectional","N/A","NOT physical wiring - inside dashed software boundary; commands re-enter U1 over same MQTT session","INFORMATIONAL"
